Name,ShortName,VoteCode,TinPemba,TinUnguja
"Ofisi ya Rais, Katiba, Sheria, Utumishi na Utawala Bora",ORKSUUB,5,119059968,141811827
Mamlaka ya Kukuza Uwekezaji Zanzibar,ZIPA,501,,101693473
Bodi ya Mishahara,,502,,
Ofisi ya Makamo wa Kwanza wa Rais,OMKR,2,119060370,115615637
Ofisi ya Makamo wa Pili wa Rais,OMPR,3,119070368,101817601
"Ofisi ya Rais, Tawala za Mikoa, Serikali za Mitaa na Idara Maalum za SMZ",ORTMSMIMS,4,122701581,101732835
Baraza la Mapinduzi,BLM,40,,101817245
Taasisi ya Nyaraka na Kumbukumbu za Taifa,ZIAR,57,184568349,165400550
Mfuko wa Uwekezaji,,503,,
Mahkama Kuu,COURT,26,119065712,101817024
Tume ya Maadili ya Viongozi,ZAPLEC,113,,136664387
Mdhibiti na Mkaguzi Mkuu  wa Hesabu za Serikali,CAG,27,119064937,110706995
Mamlaka ya Serikali Mtandao,eGAZ,38,157755889,154803912
Mamlaka ya Kuzuia Rushwa na Uhujumu wa Uchumi,ZAECA,35,,122439755
Kamisheni ya Utumishi wa Umma,KUU,36,,145869242
Tume ya Utumishi Serikalini,TUS,37,,101817199
Tume ya Utumishi wa Mahkama,,504,,119065712
Chuo cha Utawala wa Umma IPA,IPA,505,,121449943
Ofisi ya Mwanasheria Mkuu,AG,28,,101817016
Ofisi ya Mkurugenzi wa Mashtaka,,29,119060141,107779272
Kamisheni ya Wakfu na Mali ya Amana,WAKF,54,123005880,104599729
Mamlaka ya Ununuzi na Uondoaji wa Mali za Umma,ZPPDA,506,,137619520
Mamlaka ya Mapato Zanzibar,ZRA,507,,101696731
Tume ya Mipango,TM,24,137433273,121462354
Ofisi ya Mtakwimu Mkuu wa Serikali,OCGS,23,155010924,111658218
Mamlaka ya Kudhibiti na Kupambana na Dawa za Kulevya,ZDCEA,32,125292003,141776339
TUME YA UKIMWI,ZAC,33,119070104,104263410
Baraza la Watu Wenye Ulemavu,,508,,119060370
Mamlaka ya Mazingira,ZEMA,34,157179624,156864633
Baraza la Wawakilishi,BLW,20,119065119,101817091
Tume ya Uchaguzi,ZEC,31,119069432,106692653
Tume ya Utumishi ya Baraza la Wawakilishi,,509,,119065119
Kamisheni ya Maafa,,510,,119752302
Mkoa wa Kaskazini Pemba,Kaskazini Pemba,51,119060877,
Baraza la Jiji la Zanzibar,BJZ,201,,141760874
Baraza la Manispaa Mjini,BMM,202,,121454009
Halmashauri ya Wilaya ya Kusini,BMK,206,,137926121
Wakala wa Usajili wa Matukio ya Kijamii,ZCSRA,41,119059062,121459302
"Wizara ya Maji, Nishati na Madini",WMNM,15,150682878,150308305
Mamlaka ya Maji,ZAWA,515,119062225,106533199
Wizara ya Biashara na  Maendeleo ya Viwanda,WBMV,17,119064392,101789799
Baraza la Taifa la Biashara Zanzibar,ZNBC,516,,165388267
BARAZA LA UDHIBITI WA MFUMO WA UTOAJI LESENI,BLRC,517,,140067776
Tume ya Ushindani Halali wa Biashara,,518,,148444331
Wakala wa Vipimo,ZAWEMA,519,,157124463
"Wizara ya Ardhi, na Maendeleo ya Makaazi",WAMM,14,119062055,101697509
Kamisheni ya Ardhi,,520,139044622,101816990
Mthamini Mkuu wa Serikali,,521,,
Wakala wa Majengo,,522,,137516160
Mahkama ya Ardhi,LAND TRIBUNAL,523,,119062055
Bodi ya Usajili wa Wakandarasi,,524,,
"Bodi ya Usajili wa Wasanifu wa  Majengo, Wahandisi na Wakadiriaji wa Majengo",,525,,
"Wizara ya Kilimo, Umwagiliaji Maliasili na Mifugo",WKUMM,12,119058678,101817679
Taasisi ya Utafiti wa Kilimo,ZARI,526,178050184,140711764
Wakala wa Matrekta na Zana za Kilimo,,527,,136148710
Taasisi ya Utafiti wa Mifugo,ZALIRI,528,,136961446
Wizara ya Uchumi wa Buluu na Uvuvi,WUBU,13,119069912,150874084
Taasisi ya  Utafiti wa Uvuvi na Mali Asili za Baharini,,529,,165138368
Kampuni ya Uvuvi Zanzibar,ZAFICO,530,,136253123
"Mamlaka ya Udhibiti, Utafutaji na Uchimbaji  wa Mafuta na Gesi Asilia",ZPRA,531,,135338362
Wizara ya Afya,WA,8,119065615,101817180
Hospitali ya Mnazi Mmoja,MNH,25,,124546745
"Wakala wa Chakula, Dawa na Vipodozi",ZFDA,532,148403201,121450887
Wakala wa Maabara ya Mkemia Mkuu wa Serikali,WMMMS,533,146042104,121654857
Baraza la Wauguzi,,534,,119065615
Baraza la Madaktari,,535,,
Baraza la Tiba Asilia,,536,,
Baraza la Ushauri wa Afyaya Jamii na Mazingira,,537,,
Baraza la Waataalam wa Maabara za Afya,,538,,
Bodi ya Hospitali za Binafsi,,539,,
Maabara ya Afya ya Jamii Pemba,,540,,
Taasisi ya Utafiti wa Afya,,541,,155211431
Wizara ya Elimu na Mafunzo ya Amali,WEMA,11,119062187,101817709
Taasisi ya Elimu,,542,,165130197
Shirika la Huduma za Maktaba,ZLS,543,,114542164
Bodi ya Mikopo ya  Elimu ya Juu,,544,,122093077
Taasisi ya Sayansi na Teknolojia ya Karume,KIST,545,,111257558
Ofisi ya Mkaguzi Mkuu wa Elimu,,546,,181476419
Baraza la Mitihani,BMZ,547,,124650941
Mamlaka ya Mafunzo ya Amali,VTA,548,,126428936
Chuo Kikuu cha Taifa cha Zanzibar,SUZA,549,,104726615
"Wizara ya Habari, Vijana, Utamaduni na Michezo",WHVUM,18,137205378,137692902
Baraza la Vijana,,550,,
Baraza la Taifa la Michezo,BTMZ,551,,
Baraza la Sanaa na Sensa ya Filamu na Utamaduni,,552,,
Baraza la Kiswahili,,553,,
Shirika la Utangazaji  Zanzibar,ZBC,554,,118467027
Shirika la Magazeti ya Serikali,SMSZ,555,,110192940
Wakala wa Serikali wa Uchapaji,ZAGPA,556,,130834000
Tume ya Utangazaji,,107,,183078666
Kampuni ya Uunganishaji na Usambazaji Maudhui,ZMUX,557,,
Ofisi ya Msajili wa Haki Milliki,COSOZA,558,,132175306
Wizara ya Utalii na Mambo ya Kale,WUMK,10,119062500,104480454
"Wizara ya Ujenzi, Mawasiliano na Uchukuzi",WUMU,16,119065364,101817156
Wakala wa Barabara,ZANROADS,559,,151578152
Wakala wa Karakana Kuu ya Magari Zanzibar,GAAWS,560,,144033396
Mkoa wa Kusini Pemba,Kusini Pemba,50,119062888,
Mkoa wa Kaskazini Unguja,Kaskazini Unguja,48,,107779450
Mkoa wa Kusini Unguja,Kusini Unguja,49,,107779477
Mkoa wa Mjini Magharibi,Mjini Magharibi,47,,107779396
Baraza la Manispaa Kaskazini A,BM/ Kaskazini A,207,,141799118
Wilaya ya Kaskazini B,Kaskazini B,561,,
Wilaya ya Kati,Kati,562,,
Wilaya ya Kusini,Kusini,563,,
Wilaya ya Mjini,Mjini,564,,
Baraza la Manispaa Magharibi A,Baraza Magharibi A,203,,137175088
Wilaya ya Magharibi B,Magharibi B,565,,
Wilaya ya Wete,Wete,566,,
Wilaya ya Chakechake,Chakechake,567,,
Wilaya ya Mkoani,Mkoani,568,,
Wilaya ya Micheweni,Micheweni,569,,
Skuli ya Sheria,,570,,154057374
Ofisi ya Mhasibu Mkuu,,22,157268007,156933775
Ofisi ya Mkaguzi Mkuu wa Ndani wa Serikali,OMMNS,52,157532790,156958174
"Ofisi ya Rais, Uchumi, Kazi na Uwekezaji",ORKUU,6,150659493,101697533
"Wizara ya Maendeleo ya Jamii, Jinsia, Wazee na Watoto",WMJJWW,19,157265857,157443895
Kamisheni ya Kazi,ZLC,573,,101817687
Baraza la Mji Kati,BMKati,205,,134349867
Baraza la Mji Kaskazini B,BMK B,208,,106226431
Wilaya ya Kaskazini A,WKA,574,,
Baraza la Manispaa Magharibi B,BMMB,204,,129840552
Baraza la Ushindani Halali wa Biashara,ZFCT,575,,119064392
Kampuni ya Mwani Zanzibar,ZASCO,576,,
Wilaya ya Magharibi A,WMA,577,,
Wilaya Ndogo Tumbatu,WNT,578,,
Baraza la Manispaa Chake Chake,BMCC,210,119062896,
Baraza la Mji Wete,BMW,211,119065402,
Baraza la Mji Mkoani,BMMK,209,119062756,
Halmashauri ya Wilaya ya Micheweni,HWM,212,137833387,
"Taasisi ya Afisi ya Rais, Ufuatiliaji na Usimamizi wa Utendaji Kazi Serikali",PDB,58,,166520649
Ofisi ya Msajili wa Hazina,Hazina,106,176498501,176281286
TAASISI YA WAHASIBU WAKAGUZI NA WASHAURI ELEKEZI WA KODI ZANZIBAR,ZIAAT,579,,175942998
Wakala wa Uwezeshaji Wananchi Kiuchumi,ZEEA,105,176523980,176332557
Mahkama ya Kadhi,MK,580,184010607,184104601
Mrajis wa Elimu,ME,581,,184035006
Bohari Kuu ya Dawa,BKD,582,,
WIZARA YA MAMBO YA NJE,WMNJ,19,,
TAASISI YA USALAMA WA WAGENI,TUW,19,,
"WIZARA YA UTAFITI,UBUNIFU NA MATEMBEZI (ENGLISH)",WUUM,20,,
KIJAMBO CHETU,KC,897,,
OFISI YA RAIS IKULU FEDHA,ORIF,567,,
IKULU FEDHA,IK,25,,
